,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
63,9,0,54,63,1,1,51200,443.0,375.0,0.4179999828338623,6,0,1,1
64,9,0,55,64,1,1,56320,443.0,375.0,0.4004589915275574,2,0,1,1
65,9,0,54,65,1,1,82944,443.0,375.0,0.6014549732208252,9,0,1,1
66,9,0,55,66,1,1,58368,443.0,375.0,0.6499499678611755,3,0,1,1
67,9,0,55,67,1,1,74752,443.0,375.0,0.6496240496635437,3,0,1,1
68,9,0,55,68,1,1,64512,443.0,375.0,0.3682050108909607,1,0,1,1
69,9,0,54,69,1,1,55296,443.0,375.0,0.3174049854278564,7,0,1,1
70,9,0,54,70,1,1,57344,443.0,375.0,0.8831589818000793,6,0,1,1
71,9,0,55,71,1,1,65536,443.0,375.0,0.3173559904098511,4,0,1,1
72,9,0,60,72,1,1,50176,443.0,375.0,0.4666699767112732,0,0,1,1
73,9,0,55,73,1,1,62464,443.0,375.0,0.2813670039176941,4,0,1,1
74,9,0,54,74,1,1,81920,443.0,375.0,0.3677870035171509,7,0,1,1
75,9,0,54,75,1,1,63488,443.0,375.0,0.4172720313072204,5,0,1,1
76,9,0,56,76,1,1,53248,443.0,375.0,0.4344899654388428,2,0,1,1
77,9,0,55,77,1,1,72704,443.0,375.0,0.3496890068054199,1,0,1,1
78,9,0,55,78,1,1,79872,443.0,375.0,0.2345430254936218,4,0,1,1
79,9,0,54,79,1,1,73728,443.0,375.0,0.6665319800376892,9,0,1,1
80,10,1,56,80,1,3,13312,443.0,375.0,0.533499002456665,2,0,1,0
81,10,1,56,81,1,3,8192,443.0,375.0,0.1828300356864929,1,0,1,0
82,10,1,60,82,1,3,25600,443.0,375.0,0.4168350100517273,0,0,1,0
83,10,1,55,83,1,3,7168,443.0,375.0,0.6175000071525574,3,0,1,0
84,10,1,54,84,1,3,11264,443.0,375.0,1.483796000480652,5,0,1,0
85,10,1,54,85,1,3,12288,443.0,375.0,0.3337299823760986,7,0,1,0
86,10,1,54,86,1,3,34816,443.0,375.0,0.4331259727478027,8,0,1,0
87,10,1,55,87,1,3,6144,443.0,375.0,0.3994590044021606,4,0,1,0
88,10,1,55,88,1,3,24576,443.0,375.0,0.3005210161209106,4,0,1,0
89,10,1,54,89,1,3,33792,443.0,375.0,0.4528570175170898,2,0,1,0
90,10,1,54,90,1,3,23552,443.0,375.0,0.6650450229644775,9,0,1,0
91,10,1,60,91,1,3,2048,443.0,375.0,0.6325299739837646,0,0,1,0
92,10,1,54,92,1,3,21504,443.0,375.0,1.0480729937553406,9,0,1,0
93,10,1,54,93,1,3,37888,443.0,375.0,0.4667180180549621,9,0,1,0
94,10,1,54,94,1,3,5120,443.0,375.0,0.6999750137329102,8,0,1,0
